dist,town,village,area,orientations,room,bedroom,living_room,washing_room,rent,lease_mode,label,elevator,parking,water,electricity,gas
香洲区,老香洲,华海路46号,40,南,11厅1卫,1,1,1,10888 ,整租,/精装/随时看房/,无,免费车位,商水,商电,无
香洲区,唐家湾,保利海上五月花2期,38,北,11厅1卫,1,1,1,10860 ,整租,/精装/随时看房/,无,免费车位,民水,民电,有
香洲区,前山,梅花豪庭,33.45,北,10厅1卫,1,0,1,10500 ,整租,/,无,租用车位,民水,民电,有
香洲区,前山,蔚蓝东岸,47,南,11厅1卫,1,1,1,10500 ,整租,/精装/,无,租用车位,民水,民电,有
香洲区,唐家湾,恒隆华萃园,37,南,11厅1卫,1,1,1,10335 ,整租,/精装/随时看房/,无,租用车位,商水,商电,有
香洲区,拱北,龙城花园,53,西,11厅1卫,1,1,1,10000 ,整租,/随时看房/,无,租用车位,民水,民电,无
香洲区,拱北,龙城花园,65,南,11厅1卫,1,1,1,10000 ,整租,/业主自荐/随时看房/,无,免费车位,民水,民电,无
香洲区,拱北,珠光花园(桂花北路),20,东南南,11厅1卫,1,1,1,10000 ,整租,/精装/随时看房/,无,免费车位,民水,民电,无
香洲区,夏湾,卓凡中心,60,南,11厅1卫,1,1,1,10000 ,整租,/精装/非居住房屋/,无,租用车位,商水,商电,有
香洲区,拱北,龙泉阁,28,南,10厅1卫,1,0,1,10000 ,整租,/精装/,无,免费车位,民水,民电,有
香洲区,拱北,正邦岭秀城公寓楼,43,南,10厅1卫,1,0,1,10000 ,整租,/精装/随时看房/,无,免费车位,民水,民电,有
香洲区,新香洲,嘉丰花园,51,南北,11厅1卫,1,1,1,10000 ,整租,/,无,租用车位,民水,民电,有
香洲区,拱北,利腾金力湾商业中心,52,北,11厅1卫,1,1,1,10000 ,整租,/精装/非居住房屋/,无,免费车位,商水,商电,无
香洲区,拱北,桂花苑,25,南,10厅1卫,1,0,1,10000 ,整租,/随时看房/,无,免费车位,民水,民电,无
香洲区,横琴,三一南方总部大厦,42,东,11厅1卫,1,1,1,10000 ,整租,/精装/,无,租用车位,民水,民电,无
香洲区,拱北,国维中央广场,44,南,10厅1卫,1,0,1,10000 ,整租,/精装/随时看房/非居住房屋/,无,租用车位,商水,商电,无
香洲区,拱北,国维中央广场,69,西南,12厅1卫,1,2,1,10000 ,整租,/精装/随时看房/非居住房屋/,无,免费车位,商水,商电,无
香洲区,唐家湾,万科红树东岸,48,南,11厅1卫,1,1,1,10000 ,整租,/精装/随时看房/,无,免费车位,商水,商电,有
香洲区,南湾,中信红树湾二期,45,西南,10厅1卫,1,0,1,10000 ,整租,/精装/,无,免费车位,民水,民电,有
香洲区,拱北,正邦岭秀城公寓楼,41,南,11厅1卫,1,1,1,10000 ,整租,/精装/,无,免费车位,民水,民电,有
香洲区,南湾,华发世纪城三期,52,南,11厅1卫,1,1,1,10000 ,整租,/精装/随时看房/,无,租用车位,民水,民电,有
香洲区,前山,蓝钻100,38,西南,10厅1卫,1,0,1,10000 ,整租,/精装/,无,租用车位,民水,民电,有
香洲区,前山,银苑新村,30,南,11厅1卫,1,1,1,10000 ,整租,/,无,免费车位,民水,民电,无
香洲区,拱北,珠光花园(桂花北路),35,南,10厅1卫,1,0,1,10000 ,整租,/,无,租用车位,民水,民电,无
香洲区,唐家湾,首开龙湖天钜,39,东,11厅1卫,1,1,1,10000 ,整租,/精装/非居住房屋/,无,免费车位,商水,商电,有
香洲区,洪湾,龙光玖龙汇,37,西北,11厅1卫,1,1,1,10000 ,整租,/精装/随时看房/非居住房屋/,无,免费车位,商水,商电,无
香洲区,老香洲,中珠水晶堡,42,南,11厅1卫,1,1,1,10000 ,整租,/精装/,无,免费车位,民水,民电,无
香洲区,南湾,中信红树湾二期,45,西南,10厅1卫,1,0,1,10000 ,整租,/精装/随时看房/,无,免费车位,民水,民电,有
香洲区,唐家湾,万科红树东岸,48,东南,11厅1卫,1,1,1,10000 ,整租,/精装/,无,租用车位,商水,商电,有
香洲区,拱北,和华国际公寓,42,北,11厅1卫,1,1,1,10000 ,整租,/精装/随时看房/,无,租用车位,民水,民电,有
香洲区,唐家湾,金发苑(香洲区),45,南,11厅1卫,1,1,1,10000 ,整租,/精装/随时看房/,无,租用车位,商水,民电,无
香洲区,吉大,嘉年华国际公寓,43.58,南,10厅1卫,1,0,1,10000 ,整租,/精装/随时看房/,无,租用车位,民水,民电,有
香洲区,南湾,华发世纪城三期,55,东,11厅2卫,1,1,2,10000 ,整租,/精装/双卫生间/,无,租用车位,民水,民电,有
香洲区,拱北,利腾金力湾商业中心,49,南,11厅1卫,1,1,1,10000 ,整租,/精装/非居住房屋/,无,租用车位,商水,商电,无
香洲区,南湾,天朗海峰,72,南,11厅1卫,1,1,1,10000 ,整租,/精装/,无,租用车位,民水,民电,有
香洲区,南湾,天朗海峰,78.77,南,11厅1卫,1,1,1,10000 ,整租,/精装/随时看房/,无,租用车位,民水,民电,有
香洲区,横琴,信德口岸商务中心,71,北,12厅1卫,1,2,1,10000 ,整租,/精装/,无,租用车位,商水,商电,有
香洲区,拱北,正邦岭秀城公寓楼,45.3,北,10厅1卫,1,0,1,10000 ,整租,/精装/,无,租用车位,民水,民电,有
香洲区,拱北,骏发山庄,50,南,11厅1卫,1,1,1,10000 ,整租,/,无,租用车位,商水,商电,无
香洲区,南湾,华发世纪城三期,55,北,11厅2卫,1,1,2,10000 ,整租,/精装/双卫生间/,无,免费车位,民水,民电,有
香洲区,吉大,海莲山庄,25,南,10厅1卫,1,0,1,10000 ,整租,/,无,租用车位,民水,民电,无
香洲区,横琴,保利国际广场,44.55,东南,10厅1卫,1,0,1,10000 ,整租,/精装/非居住房屋/,无,免费车位,商水,商电,无
香洲区,南湾,华发世纪城三期,52,北,12厅2卫,1,2,2,10000 ,整租,/精装/双卫生间/随时看房/,无,租用车位,民水,民电,有
香洲区,横琴,中冶盛世国际广场,70.92,东南,11厅1卫,1,1,1,10000 ,整租,/精装/,无,租用车位,民水,民电,无
香洲区,南湾,天朗海峰,63,南,10厅1卫,1,0,1,10000 ,整租,/精装/,无,租用车位,民水,民电,有
香洲区,夏湾,美盈ATM国际公馆,48.37,西南,11厅1卫,1,1,1,10000 ,整租,/精装/随时看房/非居住房屋/,无,租用车位,商水,商电,无
香洲区,横琴,横琴金融传媒中心,83,东南,11厅1卫,1,1,1,10000 ,整租,/精装/随时看房/,无,租用车位,民水,民电,有
香洲区,横琴,信德口岸商务中心,46,东,11厅1卫,1,1,1,10000 ,整租,/精装/,无,租用车位,商水,商电,有
香洲区,南湾,华发新城四期,41,东,12厅2卫,1,2,2,10000 ,整租,/精装/双卫生间/,无,租用车位,民水,民电,有
香洲区,吉大,荔苑,25,南,11厅1卫,1,1,1,10000 ,整租,/,无,租用车位,民水,民电,无
香洲区,夏湾,德全苑,30,南,10厅1卫,1,0,1,10000 ,整租,/,无,免费车位,民水,民电,无
香洲区,横琴,信德口岸商务中心,45,南,10厅1卫,1,0,1,10000 ,整租,/精装/,无,免费车位,商水,商电,有
香洲区,南湾,华发世纪城三期,52,西南,11厅1卫,1,1,1,10000 ,整租,/精装/随时看房/,无,免费车位,民水,民电,有
香洲区,洪湾,利是达星际广场,61,东南,10厅1卫,1,0,1,10000 ,整租,/精装/,无,免费车位,商水,民电,有
香洲区,湾仔,珠海中富,25,西,10厅1卫,1,0,1,10000 ,整租,/月租/精装/,无,免费车位,商水,商电,有
香洲区,横琴,中冶盛世国际广场,48.22,西南,11厅1卫,1,1,1,10000 ,整租,/精装/,无,免费车位,民水,民电,无
香洲区,横琴,横琴国贸大厦,74,西南,10厅1卫,1,0,1,10000 ,整租,/精装/,无,免费车位,商水,商电,无
香洲区,横琴,荔枝湾花园（南区）,30,东南,11厅1卫,1,1,1,10000 ,整租,/精装/随时看房/,无,免费车位,民水,民电,有
香洲区,横琴,信德口岸商务中心,45,东,10厅1卫,1,0,1,10000 ,整租,/随时看房/,无,免费车位,商水,商电,有
香洲区,兰埔,格力香樟,47,南,11厅1卫,1,1,1,10000 ,整租,/精装/随时看房/,无,免费车位,民水,民电,有
香洲区,拱北,利腾金力湾商业中心,52,东,11厅1卫,1,1,1,10000 ,整租,/精装/非居住房屋/,无,租用车位,商水,商电,无
香洲区,洪湾,奥园观山海,55,南,11厅1卫,1,1,1,10000 ,整租,/精装/非居住房屋/,无,租用车位,商水,商电,无
香洲区,横琴,华发悦府,58,东南,11厅1卫,1,1,1,10000 ,整租,/精装/,无,免费车位,民水,民电,有
香洲区,洪湾,奥园观山海,52.77,东,11厅1卫,1,1,1,10000 ,整租,/精装/非居住房屋/,无,免费车位,商水,商电,无
香洲区,横琴,横琴万象世界,45,南,11厅1卫,1,1,1,10000 ,整租,/精装/非居住房屋/,无,免费车位,商水,商电,无
香洲区,横琴,保利国际广场,83,东南,10厅0卫,1,0,0,10000 ,整租,/精装/非居住房屋/,无,免费车位,商水,商电,无
香洲区,唐家湾,美吉丽鼎通大厦,65,南,11厅1卫,1,1,1,10000 ,整租,/精装/随时看房/,无,租用车位,商水,商电,有
香洲区,横琴,横琴国贸大厦,75,东北,11厅1卫,1,1,1,10000 ,整租,/精装/,无,租用车位,商水,商电,无
香洲区,吉大,嘉年华国际公寓,52,南,11厅1卫,1,1,1,10000 ,整租,/精装/,无,免费车位,民水,民电,有
香洲区,拱北,正邦岭秀城,30,东南,10厅0卫,1,0,0,10000 ,整租,/精装/随时看房/,无,租用车位,民水,民电,有
香洲区,吉大,中怡花园,25,南,10厅1卫,1,0,1,10000 ,整租,/精装/,无,租用车位,民水,民电,无
香洲区,南湾,华发新城六期,67,东南,11厅1卫,1,1,1,10000 ,整租,/精装/,无,租用车位,民水,民电,有
香洲区,南湾,华发新城六期,70,东南,11厅2卫,1,1,2,10000 ,整租,/精装/双卫生间/,无,租用车位,民水,民电,有
香洲区,南湾,天朗海峰,64,南,11厅1卫,1,1,1,10000 ,整租,/精装/,无,租用车位,民水,民电,有
香洲区,南湾,金沙美地,50,西南,11厅1卫,1,1,1,10000 ,整租,/精装/随时看房/,无,免费车位,民水,民电,有
香洲区,拱北,正邦岭秀城公寓楼,38.81,东,10厅1卫,1,0,1,10000 ,整租,/精装/,无,免费车位,民水,民电,有
